source_id_estado,raw_municipio,target_cve_estado,target_cve_mun
02,DURANGO,10,005
03,LEÓN,11,020
04,PUEBLA,21,114
08,CANANEA,26,019
09,TIZAYUCA,13,069
10,CHIHUAHUA,08,019
10,GUADALAJARA,14,039
10,SINALOA,25,017
10,TRINCHERAS,26,064
10,ZACATECAS,32,056
12,JOSÉ AZUETA,30,169
14,AGUASCALIENTES,01,001
15,IZTAPALAPA,09,007
15,PUERTO VALLARTA,14,067
16,SANTA CRUZ DE JUVENTINO ROSAS,11,035
18,PUERTO VALLARTA,14,067
18,TIJUANA,02,004
19,CARMEN,04,003
21,MALTRATA,30,099
22,CHIHUAHUA,08,019
23,CAMPECHE,04,002
30,SAN JUAN BAUTISTA TUXTEPEC,20,184
30,TAMPICO,28,038
31,CAMPECHE,04,002
33,XALAPA,30,087
